"","text"
"1","RT antaranews Indonesia kembali mendatangkan  juta dosis vaksin COVID Sabtu  Kedatangan tersebut terbagi dalam  tahapan y"
"2","hi siapa warga astrazeneca u all dah dapat booster ke 

ke aku jer yang belum dapat"
"3","Pemerintah Kota Malang menampik adanya kabar jika tidak memberikan pendampingan kepada warganya yang diduga mengala httpstcoYVGQnpbs"
"4","DivHumasPolri Yth Bapak kok SIKM syaratnya harus X vaksin sementara dr dishub boleh bepergian minimal X vaksi httpstcowoXyCtJv"
"5","RT FeelFellice Bee lek masih ada yang butuh vaksin dosis  astrazeneca langsung ke kampus aja infomalang vaksinmalang httpstcohySt"
"6","txtdrbekasi Beks mau nanya info vaksin ke  astrazeneca wil Bekasi dimana aja untuk minggu ini Thanks"
"7","RT antaranews Indonesia kembali mendatangkan  juta dosis vaksin COVID Sabtu  Kedatangan tersebut terbagi dalam  tahapan y"
"8","Vaksin AstraZeneca Tidak Diminati Lansia Klaten httpstcouGJfNzoBJf httpstcoIVcOfTwnS"
"9","kemenhub Kok saya baca SIKM itu harus X vaksin mengapa berbeda aturannya Bagaimana dgn orang yg divaksin as httpstcodYmbWIFGO"
"10","RT Gerindra Syarat pelaksanaan umrah untuk saat ini hanya warga yang telah divaksinasi Pfizer AstraZeneca Moderna dan Johnson and Johns"
"11","RT Gerindra Syarat pelaksanaan umrah untuk saat ini hanya warga yang telah divaksinasi Pfizer AstraZeneca Moderna dan Johnson and Johns"
"12","cah info vaksin ke  astrazeneca aku ktp malang mergane"
"13","WAL Yang mau vaksin hari ini bisa ke IAIN yaa ada sinovac pfizer astrazeneca sama moderna"
"14","H Zakiy Zakaria LC MA mengatakan bagi jamaah yg sudah divaksin Astrazeneca Moderna Pfizer dan Jhonson di Indones httpstcoCSVTDvTyC"
"15","Ini nyari vaksin astrazeneca dosis  susah bgt deh mana januari udh masuk kampus harus udh vaksin kedua lg"
"16","alisyarief Kebolehan makan babi didalam Quran

Babi tidak haram mutlak

Vaksin orang haji juga ada yg mengand httpstcoWHiKSAde"
"17","RT antaranews Indonesia kembali mendatangkan  juta dosis vaksin COVID Sabtu  Kedatangan tersebut terbagi dalam  tahapan y"
"18","RT UKASSarawak PENERIMA VAKSIN ASTRAZENECA

Semua penerima vaksin AstraZeneca yang masih belum menerima vaksin Dose  termasuk mereka ya"
"19","Ustadz Adi Hidayat Angkat Bicara Tentang Vaksin AstraZeneca Haram Jika  Seputar Tangsel  PikiranRakyat httpstcoUExbZTQh"
"20","RT jjaranaz PedaZitosDeMí XIV con AnaOtaegui y RosalíaSotés

httpstcopEuxixIp

EstadoDeAlarma ToqueDeQueda Covid C"
